time;probability
00:00;0.0
00:15;0.005
00:30;0.003
00:45;0.0
01:00;0.0
01:15;0.0
01:30;0.0
01:45;0.0
02:00;0.0
02:15;0.0
02:30;0.0
02:45;0.0
03:00;0.0
03:15;0.0
03:30;0.0
03:45;0.0
04:00;0.0
04:15;0.0
04:30;0.0
04:45;0.0
05:00;0.0
05:15;0.0
05:30;0.0
05:45;0.0
06:00;0.0
06:15;0.0
06:30;0.0
06:45;0.0
07:00;0.0
07:15;0.0
07:30;0.0
07:45;0.0
08:00;0.0
08:15;0.0
08:30;0.0
08:45;0.0
09:00;0.002
09:15;0.001
09:30;0.0
09:45;0.0
10:00;0.0
10:15;0.0
10:30;0.0
10:45;0.0
11:00;0.0
11:15;0.0
11:30;0.005
11:45;0.009
12:00;0.025
12:15;0.012
12:30;0.012
12:45;0.003
13:00;0.004
13:15;0.003
13:30;0.004
13:45;0.003
14:00;0.004
14:15;0.003
14:30;0.013
14:45;0.021
15:00;0.01
15:15;0.019
15:30;0.009
15:45;0.022
16:00;0.016
16:15;0.021
16:30;0.026
16:45;0.036
17:00;0.026
17:15;0.027
17:30;0.026
17:45;0.026
18:00;0.046
18:15;0.035
18:30;0.036
18:45;0.033
19:00;0.029
19:15;0.027
19:30;0.026
19:45;0.026
20:00;0.023
20:15;0.013
20:30;0.032
20:45;0.02
21:00;0.009
21:15;0.038
21:30;0.046
21:45;0.035
22:00;0.022
22:15;0.026
22:30;0.023
22:45;0.016
23:00;0.02
23:15;0.009
23:30;0.009
23:45;0.005
