,bus,p_load [kW],arrival,travelled [km]
0,213,11.1,88,30
1,85,3.7,84,30
2,49,3.7,76,20
3,129,3.7,72,40
4,261,11.1,76,30
5,109,11.1,48,60
6,103,11.1,84,50
7,83,11.1,80,60
8,147,3.7,72,60
9,67,11.1,68,50
10,153,22.2,68,30
11,203,11.1,64,60
12,47,3.7,80,30
13,247,11.1,80,50
14,91,11.1,68,40
15,101,22.2,72,20
16,209,11.1,76,30
17,217,11.1,72,30
18,55,11.1,56,30
19,277,22.2,72,50
20,89,3.7,64,40
21,235,3.7,76,30
22,187,11.1,68,40
23,283,11.1,76,60
24,63,11.1,76,40
25,227,11.1,68,40
26,127,11.1,68,20
27,279,22.2,68,40
28,71,22.2,84,20
29,15,3.7,52,60
30,169,11.1,60,30
31,43,3.7,48,20
32,271,3.7,72,30
33,77,11.1,72,30
34,249,11.1,84,40
35,251,11.1,88,50
36,87,22.2,68,50
37,99,11.1,44,40
38,7,22.2,80,20
39,35,11.1,76,20
40,9,22.2,80,30
41,267,3.7,80,30
42,155,11.1,72,40
43,75,11.1,0,30
